ADMIN,KO
South Korea,대한민국
North Korea,북한
Japan,일본
China,중국
Russia,러시아
United States of America,미국
Canada,캐나다
Brazil,브라질
India,인도
Australia,호주
France,프랑스
Germany,독일
United Kingdom,영국
Italy,이탈리아
Spain,스페인
Mexico,멕시코
Argentina,아르헨티나
Saudi Arabia,사우디아라비아
Egypt,이집트
South Africa,남아프리카공화국

ADMIN,KO
Algeria,알제리
Democratic Republic of the Congo,콩고민주공화국
Sudan,수단
Libya,리비아
Chad,차드
Niger,니제르
Angola,앙골라
Mali,말리
Mauritania,모리타니
Ethiopia,에티오피아
Namibia,나미비아
Mozambique,모잠비크
Zambia,잠비아
Somalia,소말리아
Central African Republic,중앙아프리카공화국
Madagascar,마다가스카르
Botswana,보츠와나
Kenya,케냐
Tanzania,탄자니아
Nigeria,나이지리아
Cameroon,카메룬
Morocco,모로코
Ghana,가나
Zimbabwe,짐바브웨
Kazakhstan,카자흐스탄
Mongolia,몽골
Iran,이란
Turkey,튀르키예
Pakistan,파키스탄
Afghanistan,아프가니스탄
Indonesia,인도네시아
Thailand,태국
Myanmar,미얀마
Vietnam,베트남
Philippines,필리핀
Peru,페루
Colombia,콜롬비아
Bolivia,볼리비아
Venezuela,베네수엘라
Chile,칠레
Paraguay,파라과이
Uruguay,우루과이
Ecuador,에콰도르
Greenland,그린란드
Ukraine,우크라이나
Norway,노르웨이
Sweden,스웨덴
Finland,핀란드
Poland,폴란드
Romania,루마니아

ADMIN,KO
Kuwait,쿠웨이트
Luxembourg,룩셈부르크
Northern Cyprus,북키프로스
Palestine,팔레스타인
Republic of Serbia,세르비아
Tunisia,튀니지
Turkmenistan,투르크메니스탄
Uzbekistan,우즈베키스탄
Benin,베냉
Burkina Faso,부르키나파소
Burundi,부룬디
Côte d'Ivoire,코트디부아르
Djibouti,지부티
Equatorial Guinea,적도 기니
Eritrea,에리트레아
Eswatini,에스와티니
Gabon,가봉
Gambia,감비아
Guinea,기니
Guinea-Bissau,기니비사우
Lesotho,레소토
Liberia,라이베리아
Malawi,말라위
Rwanda,르완다
Senegal,세네갈
Sierra Leone,시에라리온
South Sudan,남수단
Togo,토고
Uganda,우간다
Republic of Congo,콩고공화국
Bangladesh,방글라데시
Bhutan,부탄
Brunei,브루나이
Cambodia,캄보디아
Kyrgyzstan,키르기스스탄
Laos,라오스
Malaysia,말레이시아
Nepal,네팔
Oman,오만
Qatar,카타르
Sri Lanka,스리랑카
Tajikistan,타지키스탄
Timor-Leste,동티모르
United Arab Emirates,아랍에미리트
Yemen,예멘
Andorra,안도라
Liechtenstein,리히텐슈타인
Malta,몰타
Monaco,모나코
San Marino,산마리노
Belize,벨리즈
Costa Rica,코스타리카
Cuba,쿠바
Dominican Republic,도미니카공화국
El Salvador,엘살바도르
Guatemala,과테말라
Haiti,아이티
Honduras,온두라스
Jamaica,자메이카
Nicaragua,니카라과
Panama,파나마
Puerto Rico,푸에르토리코
Trinidad and Tobago,트리니다드 토바고
Guyana,가이아나
Suriname,수리남
Falkland Islands,포클랜드 제도
Fiji,피지
New Zealand,뉴질랜드
Papua New Guinea,파푸아뉴기니
Solomon Islands,솔로몬 제도
Vanuatu,바누아투
French Southern and Antarctic Lands,프랑스령 남방 및 남극 지역
Ivory Coast,코트디부아르
Republic of the Congo,콩고공화국
Somaliland,소말릴란드
United Republic of Tanzania,탄자니아
Western Sahara,서사하라
eSwatini,에스와티니
Antarctica,남극
Armenia,아르메니아
Azerbaijan,아제르바이잔
Cyprus,키프로스
East Timor,동티모르
Georgia,조지아
Iraq,이라크
Israel,이스라엘
Jordan,요르단
Lebanon,레바논
Syria,시리아
Taiwan,대만
Albania,알바니아
Austria,오스트리아
Belarus,벨라루스
Belgium,벨기에
Bosnia and Herzegovina,보스니아 헤르체고비나
Bulgaria,불가리아
Croatia,크로아티아
Czechia,체코
Denmark,덴마크
Estonia,에스토니아
Greece,그리스
Hungary,헝가리
Iceland,아이슬란드
Ireland,아일랜드
Kosovo,코소보
Latvia,라트비아
Lithuania,리투아니아
Moldova,몰도바
Montenegro,몬테네그로
Netherlands,네덜란드
North Macedonia,북마케도니아
Portugal,포르투갈
Slovakia,슬로바키아
Slovenia,슬로베니아
Switzerland,스위스
The Bahamas,바하마
New Caledonia,뉴칼레도니아
